nft_name,nft_id,owner_address
Proof of Synth and Time #84,nft1v2cz9dmgkavz6w6rc5efpd3nnfzven4dfc3m838n8x3g6vgq9hmsddy4hw,xch1nznvpl7g45vw35nj8sm8z3cc3szx58uk8wzxykjen7ctphjaz2xqnmw7kr
Proof of Synth and Time #82,nft1thp3jcsvev7fncynns0qmzztkc037j4sc00zdgnmj0grsrj6khnq7lfr4v,xch1nznvpl7g45vw35nj8sm8z3cc3szx58uk8wzxykjen7ctphjaz2xqnmw7kr
Proof of Synth and Time #77,nft1tu24whum6g8epd8xte9k02pdrrja0waqmxh6cjqr3huvk3j6y0ssvs8rac,xch1nznvpl7g45vw35nj8sm8z3cc3szx58uk8wzxykjen7ctphjaz2xqnmw7kr
Proof of Synth and Time #76,nft1jvlzlesflpv489t3tm3c32r0s9nu28d9rh7sdk74vn9l9phnu0mstwjvry,xch1vkzrkw6q658aj0jte07x2f43nu4gjueu8zwv873gkjrz7vp7924qqgu6e3
Proof of Synth and Time #124,nft1keza2dr856uxavu40lvxnslvcjcxtdg6jyvy9vlyakc6t7sduy3q45uyhp,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #122,nft176eul9ye77mh9ua7rrf0e2hjy489efe90gkp3rcx5lwt6pm7a79qm8yn0z,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #118,nft1dsxq50muvmhlapjz99d4mu93daefv3us7zjhzsqjvhv7asmxrlcqzm0z5h,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #116,nft1mzgq0zds9y2uvznel5p8rvue3m9h2lthtfw7r7vskfpghrxd72hqju6xxv,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #115,nft15gcq3pkgwz5ufd3zfxlz4vh5tc4gry7pqn7uu7mkrama2s6lcn4sv8h82z,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #112,nft1tyhfw7ng9kjdq5ryfw0k3efn67kcgu2x97plwd7mpyj374zspevqld5g90,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #110,nft1gq23flenm4ttd7gcqnprw40d7wzgx5v5tzqgwmluxktanx8j9avsf4mynp,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #108,nft1jvde3rkjp2rn0r2cnl2va66syyqsk80quejn76zwe94hns2x9dvq5qq9g3,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #106,nft18f39ehze5enx94qx3q45sdun7rxewxkhr9fl4k8vpcf404vjsy2sdmm5fv,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #104,nft1kpj9pyzc7yeyjzpggjrk0ucl9uvejrhvtygrmn6pp80hmxlcuevs4pkyc2,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #102,nft18s5m0dh8rwqaq47rgc6mc5956fzpajjdu0vk0mm2k4jt397f9kpq9ttuax,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #101,nft13lplfr9rx2ync8cp6kel0pmy2s7tqeukm83m86v2p4ymzh32xwzqtdqnp8,xch10y8260tw2eh53g424d5j87qlr8275t0aqds6zcj5t8wfunykttpsghcwtt
Proof of Synth and Time #147,nft15ulhc00yg7q5evfwg7m9fylvthxre0552vndz9cm7u8cuxypch8qfhsdcj,xch1zskgu50czdv5txv74lk8433y9fffs90xcuqu8wu76qvy0z60twzqd3yd09
Proof of Synth and Time #144,nft1tc06ecjq9rxm557w0u5prk56f0wahhee5sl482psz9g5psjxry3qzkuat9,xch1zskgu50czdv5txv74lk8433y9fffs90xcuqu8wu76qvy0z60twzqd3yd09
Proof of Synth and Time #143,nft19005ew86yahxa26q76k8rcymtnuf6cl6ustyxrjp62furp4mgz2s94u9n3,xch1zskgu50czdv5txv74lk8433y9fffs90xcuqu8wu76qvy0z60twzqd3yd09
Proof of Synth and Time #141,nft10tj8pfyjdzcvl7syukugnzpmwm6yl2dya59l5ua7kkzeydksm28q7zw3ez,xch1zskgu50czdv5txv74lk8433y9fffs90xcuqu8wu76qvy0z60twzqd3yd09
Proof of Synth and Time #140,nft1qzca2jlmr9hukqndpxfg9emc65kj3c4tvnus4299qfv03aewfnss63uzlu,xch1zskgu50czdv5txv74lk8433y9fffs90xcuqu8wu76qvy0z60twzqd3yd09
Proof of Synth and Time #139,nft16puw66xe6ekye2sqmugkj8d36gjz6uswz3rxj9znr0ptfvc8a9nq2csesn,xch1zskgu50czdv5txv74lk8433y9fffs90xcuqu8wu76qvy0z60twzqd3yd09
Proof of Synth and Time #135,nft1k42d4y6uth8hm0kgcdvkdzumshr2et0ujfy5mz0yenckvj9zc26sgy5vst,xch1lv72naplsd75clylsw24uvetn4xuu5zpegsejx942e66d78u4jgsnkuc34
Proof of Synth and Time #131,nft1ewlqhmmyvvwdfr4cv5yz7sangzhjq5ftcxn77l9xgyvzpprvp29sp6unjf,xch1zskgu50czdv5txv74lk8433y9fffs90xcuqu8wu76qvy0z60twzqd3yd09
Proof of Synth and Time #127,nft1wj5kwwu8r0zvdvray8avmcrec3xdwesawcqs45ajcu65tdgpcq8sadhvlm,xch1zskgu50czdv5txv74lk8433y9fffs90xcuqu8wu76qvy0z60twzqd3yd09
Proof of Synth and Time #126,nft1r2z72pfh8t90npfge3e7zfz0spwj49w06kuzszmdxy7t3remfagsjrc8q3,xch1zskgu50czdv5txv74lk8433y9fffs90xcuqu8wu76qvy0z60twzqd3yd09
Proof of Synth and Time #173,nft1ptkm50xq0kuc8sns47a8v9t46fqt0w30rmtj2utk80aqm3cs335q7q30fr,xch1z66aamdz23dk7p9n08s04ydheg7kqt3hq3gh2usrctppzdjqv8zsr32er8
Proof of Synth and Time #166,nft1n3l3ag4napwvhcvj6vxey8d7ch78ntkruj7uej23za29mz8mra5qt80j9h,xch1z66aamdz23dk7p9n08s04ydheg7kqt3hq3gh2usrctppzdjqv8zsr32er8
Proof of Synth and Time #165,nft1ktkyja0kjsqfmt6n8qnuqkmvj5ylgj478ngejngq3uga8mnyvmlsytx9hx,xch1lv72naplsd75clylsw24uvetn4xuu5zpegsejx942e66d78u4jgsnkuc34
Proof of Synth and Time #164,nft13zs2p3e827c7mdcvjgzmvnm84n9ctt4q0smx6svewa4g4tpzetmqpsnszl,xch1rsl0hxqpuw9sf0mtjzssxndt8aezrkt5z0t9tvh3xr3zjhuvceysa6a64v
Proof of Synth and Time #161,nft1fcyx84d4y7zsgrkwaktvr9tk3naqw8lgkk3f40my9p8wpg8utfuqyf9t94,xch1z66aamdz23dk7p9n08s04ydheg7kqt3hq3gh2usrctppzdjqv8zsr32er8
Proof of Synth and Time #160,nft1weadjhxjec9nwd3srn4hlww39nkmnf3afasrttzalmdq88eq3l5qzsr9e0,xch1z66aamdz23dk7p9n08s04ydheg7kqt3hq3gh2usrctppzdjqv8zsr32er8
Proof of Synth and Time #159,nft1v7f45cjyfyc4r0kapkl4h3nd2t5jcpjww0zfgq5l2s6zkd4tmfzsw9j4cp,xch1v7gzayht7t5ug68huljygrjxs9s5l57c0skpdnh8rftxzr7w9ujsq3md68
Proof of Synth and Time #157,nft1chg6tdyr3vz6v5y7w4hvzh7tjle97c9rdqk73s8phmt6pwtcmx2qj3ncu3,xch1z66aamdz23dk7p9n08s04ydheg7kqt3hq3gh2usrctppzdjqv8zsr32er8
Proof of Synth and Time #154,nft1z0yk2v4jzf2rm285ud0rnnvydj47k4xju622mwvrr65eav4vg8ks6mz72j,xch1z66aamdz23dk7p9n08s04ydheg7kqt3hq3gh2usrctppzdjqv8zsr32er8
Proof of Synth and Time #153,nft1zdz9d6xknsadgelr5dnfv25l84ldzpnppeh6lr7mzdfevgehzclsspspjp,xch1z66aamdz23dk7p9n08s04ydheg7kqt3hq3gh2usrctppzdjqv8zsr32er8
Proof of Synth and Time #152,nft1c7cep88qan9qmvqe6a9va0cvcsqn0huxdpe9rxcseefq94de6mcs04sj85,xch1z66aamdz23dk7p9n08s04ydheg7kqt3hq3gh2usrctppzdjqv8zsr32er8
Proof of Synth and Time #200,nft1f7lcw6tqu685x5v4k4lc00tnvs4h8uppy8wnwuvag2yj6a0zuheswl3f83,xch1hj6m7u9hkx2plysdfj69rn8vg2pv7k5fy8ghqrfejxe6d5797wnqcgdaz4
Proof of Synth and Time #199,nft1fzj80n7cqwd0eefq3hsjtr4tsymdgt5lx24ccqsppvsrlq9p2t5shvlsdk,xch18y3tcw2xjgvtut8x86d6hsz6zr0dxr5xhthkrq5wcffpaqmd94xq2vtf4n
